;Deutsch;Typen
58;Hisui-Fukano;Feuer Gestein
59;Hisui-Arkani;Feuer Gestein
100;Hisui-Voltobal;Elektro Pflanze
101;Hisui-Lektrobal;Elektro Pflanze
157;Hisui-Tornupto;Feuer Geist
211;Hisui-Baldorfish;Unlicht Gift
215;Hisui-Sniebel;Kampf Gift
503;Hisui-Admurai;Wasser Unlicht
549;Hisui-Dressella;Pflanze Kampf
570;Hisui-Zorua;Normal Geist
571;Hisui-Zoroark;Normal Geist
628;Hisui-Washakwil;Psycho Flug
705;Hisui-Viscargot;Stahl Drache
706;Hisui-Viscogon;Stahl Drache
713;Hisui-Arktilas;Eis Gestein
724;Hisui-Silvarro;Pflanze Kampf
